operatieId,medewerkerId,gespreksduurTotaalMinuten,aantalTelefonischeDatumVoorstellen,retourStroom48u,aantalMinutenBezigMetPlanning,aantalBelpogingen,opmerking
5122,157,7,3,True,62,4,Gevaar overeenkomen vers vliegtuig gemak veroveren kunst.
5123,160,4,3,False,116,4,
5124,120,4,3,True,70,3,Makkelijk vraag speciaal ring bij.
5125,113,5,5,False,105,1,Onze stuk beter willen zullen.
5126,127,2,3,False,81,1,
5127,31,7,2,False,13,4,Uit kleden slim.
5128,31,5,2,False,88,3,Slaapkamer zon kost jongen.
5129,185,2,1,False,64,2,Horen rok wanneer als vechten aan.
5130,69,10,4,True,95,3,Suiker kist open tamelijk glad stad gebruikelijk.
5131,19,2,5,True,10,4,
5132,93,4,2,False,32,1,Verf zoals bedreiging toekomst gebruiken plaats.
5133,83,3,2,False,38,3,Nat houden uitvinden dapper langzaam.
5134,68,8,1,False,73,4,
5135,126,9,1,False,78,3,
5136,149,5,5,False,110,1,Steen kennis alles blij eiland dom.
5137,83,9,1,False,74,4,Schudden plaat waar grap genot wolf.
5138,34,9,5,True,46,4,
5139,15,9,4,False,106,4,Broer moeilijk wens opleiding opleiding krant.
5140,67,9,1,False,52,4,
5141,92,4,2,True,90,2,
5142,162,7,1,False,99,3,
5143,181,7,1,False,29,4,Eigen einde gemakkelijk bijvoorbeeld wetenschap poes zeggen.
5144,48,6,3,False,79,3,
5145,31,7,1,False,74,3,
5146,77,7,3,False,47,4,
5147,121,2,1,False,91,3,
5148,24,9,2,False,75,2,
5149,18,7,5,False,89,3,
5150,31,10,4,False,103,3,
5151,119,5,1,True,38,2,
5152,175,9,4,False,12,2,Gevolg veer zien borstelen wreed.
5153,48,2,4,True,82,2,Goed gemak grootvader suiker verkeerd suiker reeds breken.
5154,171,3,4,False,12,3,Uitleggen recht plaat.
5155,67,6,2,True,63,3,Doorzichtig teken kop muziek lijk televisie om.
5156,93,8,2,False,11,2,
5157,72,5,1,False,112,4,
5158,164,7,5,False,89,3,Binnenkort nek welkom prijs tram vinger.
5159,176,5,4,False,78,3,Werelddeel vos spreken hand meerdere zomer avond.
5160,199,8,5,False,62,3,
5161,164,2,3,False,48,3,Uitnodigen hoek kruis halen.
5162,180,4,4,True,23,2,Prinses slot dochter koud.
5163,145,6,3,False,62,4,
5164,121,9,2,False,68,4,
5165,95,8,5,True,64,4,
5166,39,10,2,False,95,4,Kans sap duur tweede iets.
5167,9,6,1,False,110,3,
5168,63,8,4,False,33,3,
5169,117,6,4,False,52,4,
5170,49,6,5,True,28,3,Geven gerecht naast drinken lamp wassen.
5171,1,6,2,False,59,1,
5172,35,7,4,False,107,1,Kunst nummer klein radio hard bang oor.
5173,31,8,4,False,88,4,Week brengen ruimte brandstof reizen.
5174,185,8,1,False,29,3,
5175,100,4,3,True,26,3,Bijna lamp thee.
5176,89,8,1,False,51,1,Vuur telefoon leeftijd vijand glad.
5177,199,10,4,False,33,3,Zorg moeder postzegel achter drogen zorg buurman.
5178,192,5,5,False,46,3,
5179,155,3,5,False,108,2,Oom naast tas lengte persoon.
5180,77,7,5,True,84,2,Veranderen vergelijking gif grijs vriend richting voetbal.
5181,121,8,5,True,94,1,Dier koningin betalen.
5182,150,7,4,True,53,1,Fles drogen ster vertrouwen zak test enthousiast.
5183,19,7,2,False,30,1,
5184,55,5,3,False,11,1,Alles naast alleen politie lunch doen.
5185,88,8,1,False,31,1,Nieuws schetsen schouder hamer ieder deel.
5186,53,2,2,True,60,4,
5187,8,2,2,False,39,4,Mogelijk hen eiland gedragen even conditie meer.
5188,31,10,5,True,115,2,
5189,173,10,3,False,119,3,Tafel zee met proberen slim.
5190,91,4,3,False,119,3,Vier afspraak bedreven soms licht steen koorts.
5191,192,2,5,False,99,1,Proberen hen zulke herfst help plaats belofte erg.
5192,117,5,1,True,50,4,
5193,151,4,3,False,17,2,Iedereen stil vroeg dubbel leeftijd.
5194,65,3,1,False,17,2,
5195,120,2,4,False,61,2,
5196,178,8,1,False,41,4,
5197,89,4,2,False,53,3,Geboren wild markeren iemand kunst.
5198,41,4,2,True,93,1,Vragen het vergeven dubbel gif.
5199,13,5,5,False,34,3,
5200,131,10,2,False,98,4,
5201,177,9,4,True,100,4,Veroveren bij ruiken paar verstand.
5202,50,8,2,True,37,3,
5203,125,3,4,False,69,4,
5204,139,8,3,False,85,1,Één makkelijk vriendelijk lachen krant.
5205,173,7,1,False,113,4,
5206,76,2,2,False,105,1,Glad poort kopen vet zeven.
5207,122,3,4,False,35,3,
5208,100,5,3,True,83,4,
5209,195,3,5,False,83,1,
5210,82,7,5,False,58,2,
5211,153,6,4,False,101,2,Afgelopen hemel goed hebben verstand markeren miljoen.
5212,163,8,2,False,43,4,
5213,149,5,2,False,51,4,
5214,8,7,4,False,49,4,
5215,36,4,3,False,106,2,Bieden mama snijden hond werk sok.
5216,93,3,2,True,10,1,
5217,73,10,3,False,35,2,Gebruikelijk vergelijken gemeen oom prins delen vierkant zus.
5218,184,7,5,False,55,1,Kiezen vrijheid willen broek vals sap.
5219,42,9,5,False,53,2,Afmaken wat peper openlijk einde.
5220,139,6,3,False,120,1,
5221,152,9,2,True,38,2,
5222,27,5,4,False,22,4,
5223,148,3,1,False,48,2,Afgelopen wonder los familie geliefde kleden nat signaal.
5224,150,3,5,False,45,4,Verwachten leuk vinden afmaken stop recht schouder.
5225,181,8,2,True,84,2,Raam van tweede vergeven gevaar roze.
5226,189,3,5,False,40,1,Kok brandstof maag missen lucht echt gewoon.
5227,16,3,4,False,109,1,Broer hen woud oom.
5228,117,2,3,True,23,2,
5229,59,5,5,False,64,1,
5230,168,6,3,False,60,2,Huren bevatten kasteel verzameling leuk.
5231,27,10,5,False,90,1,List netjes gedrag wassen stem nek moorden aanval.
5232,70,10,1,True,117,4,God basis koffie tevreden deel klopt.
5233,70,10,5,False,87,4,Snijden geboren kantoor test beker pistool laat.
5234,96,9,3,False,39,2,Per meubel zitten.
5235,158,9,5,True,103,2,Reeds oneven genot zand.
5236,67,10,3,True,84,1,Oorzaak mama half teken persoon olie krijgen duwen.
5237,72,6,2,False,110,1,Succes hoek verjaardag kast u naast.
5238,46,2,5,False,117,2,Glad trui naar zulke kracht hamer.
5239,23,2,5,False,87,4,
5240,130,9,3,False,113,3,Partner zetten geel mond hoewel sinds.
5241,163,5,4,True,106,3,
5242,139,4,3,False,16,4,Baby begrijpen moeilijk.
5243,183,9,1,False,32,3,
5244,189,7,5,True,80,2,Zorgen vertellen soep tegen versturen volgorde.
5245,67,5,1,False,78,4,Licht zullen verwachten fijn.
5246,127,9,4,False,60,3,Helder betalen geliefde bedreiging vechten delen vers.
5247,31,2,4,True,90,2,
5248,149,4,1,False,43,1,
5249,71,9,5,True,97,2,
5250,72,5,4,False,52,2,Moorden klaar vriend ons.
5251,185,8,5,False,66,3,Knie koningin kleden zeggen zoon geld oost.
5252,3,2,1,False,51,4,
5253,37,3,5,False,78,1,
5254,52,4,5,True,59,3,Les bui soep fijn wie lijk onderwerp middel.
5255,77,6,3,False,118,1,
5256,1,5,1,False,92,1,
5257,66,5,1,True,34,2,Plaat volgorde vals geboren.
5258,23,10,3,False,89,4,Uur afgelopen god fles vertellen kost.
5259,103,8,1,True,116,4,Smal koers met olifant erg.
5260,186,7,4,True,87,1,Hobby groente vrij vliegtuig zou.
5261,11,6,5,False,62,1,
5262,117,2,2,True,24,2,Zak olie bij help soms veilig jong.
5263,63,7,4,False,51,2,Meneer grof negen benzine bieden donker moeder.
5264,25,6,1,False,47,2,
5265,74,9,4,False,76,1,
5266,30,2,3,False,29,2,
5267,40,9,2,True,55,3,
5268,116,6,1,True,120,3,Vijver verschrikkelijk verzameling lijk tak.
5269,80,8,2,True,102,2,
5270,182,4,1,True,118,3,Oceaan film vergelijkbaar offer genot.
5271,66,9,4,False,71,4,
5272,40,4,1,True,116,1,
5273,152,3,3,False,105,2,Zomer lijken weer fles.
5274,21,8,5,False,44,1,Zout plaat markeren gif lopen vijver keuken.
5275,4,6,5,False,114,2,Houden meer zus zand gisteren oceaan.
5276,43,10,2,False,18,3,Zorg dit kleren.
5277,132,2,2,False,119,2,Leven eenheid orde laten missen.
5278,30,5,2,False,60,1,
5279,75,3,1,True,77,2,Koud voet heuvel verrassen gereedschap schaduw.
5280,156,4,1,False,100,3,
5281,121,10,4,True,10,2,
5282,174,6,1,False,101,1,
5283,52,8,5,False,109,3,Gerecht sex dorp wind positie resultaat.
5284,119,4,2,False,98,3,Doos computer object mensen.
5285,7,10,5,False,104,3,
5286,73,8,2,False,18,3,Richting vraag erg structuur.
5287,39,4,2,False,49,4,Andere afmaken hobby trekken.
5288,192,9,2,False,119,3,Maan conditie welke winnen kind beslissen.
5289,81,8,3,False,71,1,Verliezen wonder uitvinden grap uitnodigen.
5290,139,2,5,False,69,2,
5291,19,10,4,False,103,2,
5292,53,9,3,True,61,2,
5293,34,3,3,False,101,4,Arm nul u liegen.
5294,164,6,4,False,33,4,Tamelijk draaien krijgen morgen.
5295,63,9,1,True,53,3,Stof morgen ijs vrijheid examen meneer natuurlijk hebben.
5296,92,7,3,True,14,1,
5297,73,2,3,True,74,4,Rechtvaardig schaduw boven praten mits.
5298,113,5,2,True,49,4,
5299,99,10,1,False,92,2,
5300,153,4,3,False,110,4,
5301,195,4,4,True,11,2,Kunnen vriezen gezicht dapper privé vrij ver.
5302,66,2,3,False,73,1,Kleren zullen kuil antwoord titel minder voorbeeld rijst.
5303,75,10,2,False,75,4,Zomer opleiding bewegen ja soms.
5304,158,9,3,False,59,4,
5305,26,3,5,True,68,4,
5306,178,7,2,False,68,4,
5307,109,9,3,True,67,4,
5308,63,5,2,False,87,2,Schaduw als bot help week voor nieuws nee.
5309,180,10,3,False,108,3,
5310,88,10,3,True,19,2,
5311,61,8,1,False,85,3,Meerdere vijver eend wanneer plaats toen.
5312,165,8,2,False,42,3,
5313,40,4,2,False,100,1,
5314,31,3,2,False,80,1,Vierkant baan suiker vouwen buurman vanmorgen tuin honderd.
5315,95,5,3,False,47,2,Wassen groep negen punt lang persoon boete.
5316,114,3,3,False,43,2,Boon voorbeeld vogel tijd dapper wij poes tekenen.
5317,90,10,2,False,62,1,
5318,166,4,1,True,73,1,
5319,103,5,1,False,94,1,Rubber verliezen voor piano vertrekken simpel.
5320,176,3,2,False,57,2,
5321,44,2,1,True,56,3,
5322,135,4,5,True,65,2,Wassen gedragen tijd bewegen ook kleur.
5323,110,4,5,False,65,2,
5324,7,9,3,False,95,2,
5325,190,6,4,False,38,3,
5326,28,3,3,False,58,1,
5327,138,3,4,False,61,3,Bij verandering kant oud.
5328,117,5,3,False,58,3,
5329,114,7,4,False,74,4,Gevolg richting vallen nacht dat wissen delen.
5330,193,7,3,False,16,4,
5331,12,6,1,False,58,3,
5332,66,6,1,False,49,3,Regen houden klaar zij grootmoeder probleem.
5333,194,8,4,True,104,2,Vriendelijk grootvader dienen wolk restaurant draaien kamer.
5334,182,10,1,True,53,2,
5335,3,4,4,False,46,2,Cirkel lamp geboorte markeren effect u.
5336,45,8,1,True,18,3,
5337,118,2,5,True,40,2,
5338,84,3,1,False,20,4,
5339,194,9,4,False,25,4,Vallen ontsnappen verzameling trui missen grootmoeder reiken.
5340,118,3,5,False,22,1,
5341,141,5,1,True,111,3,Dom hand trui u.
5342,75,8,5,True,35,4,Jouw ding appel feest woord rechtdoor fris.
5343,116,9,3,False,82,4,
5344,63,6,2,False,12,3,Zwaar noot door extreem geboorte.
5345,117,10,3,False,42,3,
5346,88,6,1,True,83,2,Lucht zoals moeder poort zijn zorg bloem.
5347,53,2,2,False,113,3,Laatst meerdere maat bijna einde.
5348,52,3,2,False,20,1,
5349,91,9,2,False,47,3,Verspreiden brood redden neus.
5350,7,5,5,False,17,2,
5351,122,9,1,False,40,2,
5352,167,7,5,True,108,3,
5353,61,8,5,True,52,3,Oud paard schouder correct grens.
5354,185,6,5,True,56,4,
5355,145,5,5,True,75,1,
5356,151,8,1,False,59,4,
5357,32,10,5,False,90,4,
5358,38,4,3,False,48,4,Tante pad vork rijst wanneer einde computer klimmen.
5359,144,3,3,True,84,3,
5360,128,10,2,False,101,3,
5361,58,3,5,False,24,2,Groen wat kleren gebruiken rook beetje.
5362,183,2,3,False,62,4,
5363,39,3,2,True,21,2,Bouwen bruin vak maand.
5364,109,8,3,False,98,3,
5365,74,8,3,False,113,1,Leren gedrag reiken brengen elk.
5366,105,6,5,False,48,1,Gewoon ander drie minder mooi schaduw fel.
5367,149,3,2,False,88,4,
5368,181,3,5,True,22,4,Afmaken grond voelen bloem woud lot.
5369,53,2,3,False,110,3,Dag mama te naald hun gebruiken.
5370,117,9,4,False,25,1,
5371,27,8,5,True,21,3,
5372,154,2,2,True,48,3,
5373,141,9,1,True,111,3,
5374,158,3,1,False,19,3,
5375,195,6,3,False,36,2,Vak repareren piano lang grond koffer.
5376,25,6,3,True,101,4,Station kaart tas hal papa.
5377,127,3,1,False,56,2,Noot bij koorts uitzoeken vechten haar of feit.
5378,8,9,2,False,78,4,
5379,58,6,2,False,15,4,
5380,41,10,2,False,104,1,
5381,98,3,1,True,15,3,Afgelopen kaars bibliotheek vierkant raak.
5382,148,10,5,True,104,3,Brug brief drogen rots bouwen.
5383,107,6,2,False,71,2,
5384,17,5,2,False,14,4,Thuis politie sluiten gevolg.
5385,57,5,1,False,59,2,Heel overal stop draaien koffer rechtvaardig ijzer.
5386,161,5,5,False,45,4,Bezoek vergeten prins bescherm.
5387,140,5,1,False,37,4,Meubel oneven vannacht verleden presenteren plat toename verandering.
5388,189,9,2,False,76,4,Delen benzine tekenen.
5389,88,2,4,True,76,2,
5390,177,4,5,False,83,3,
5391,162,5,5,False,104,3,
5392,175,7,2,True,108,2,
5393,69,8,3,False,23,2,Derde god mes begin zak.
5394,77,5,3,True,81,3,Moord vuur dat al.
5395,194,3,4,True,117,4,
5396,183,7,1,True,98,1,Hallo bezoek simpel eis scheiden verder.
5397,116,5,4,False,10,4,
5398,145,6,2,False,112,4,Munt titel muziek van.
5399,126,6,4,False,120,1,Plat hoop rechtvaardig buiten praten welkom.
5400,172,6,1,False,79,2,
5401,32,10,3,True,58,1,Dus me oorlog.
5402,99,5,4,False,76,2,Bedekken piano verzameling nek melk gewoon.
5403,189,2,4,False,119,2,
5404,109,5,5,True,55,2,
5405,155,8,2,False,60,2,
5406,76,3,1,True,17,1,
5407,117,2,3,True,29,4,
5408,171,10,3,False,74,3,
5409,93,9,2,False,58,4,
5410,177,3,5,False,90,3,Blazen aardappel lomp haten rubber wit eenzaam.
5411,161,3,3,False,78,1,Kans tante koorts vreemd dichtbij baan.
5412,29,3,5,False,59,3,
5413,113,4,1,True,55,3,
5414,143,3,4,True,47,4,
5415,140,9,1,False,112,2,Trekken hotel beetje drie kop familie kamer.
5416,55,9,2,False,18,4,
5417,99,6,4,False,110,1,Miljoen spelen poes vaarwel.
5418,159,2,2,True,27,4,
5419,164,3,3,True,33,3,
5420,8,5,4,True,23,3,
5421,13,5,3,True,115,3,
5422,42,3,5,True,72,1,Gemeen populair opleiding erg makkelijk.
5423,162,6,2,False,54,2,
5424,133,8,4,False,39,4,Man breed olie wild schaap ster.
5425,161,10,1,False,13,1,
5426,138,3,3,False,72,2,Mijn wapen redden tennis vader zuid honger.
5427,154,6,5,False,120,3,
5428,79,10,3,False,92,3,Zij honderd huis.
5429,126,3,2,False,115,3,
5430,102,8,5,False,97,3,
5431,163,9,1,True,51,4,Waarom minder aan vogel sneeuw pan geliefde.
5432,20,2,5,False,26,4,Prijs huis gemeen leeuw dan.
5433,109,6,3,False,117,2,
5434,169,6,4,False,85,4,
5435,50,4,3,False,19,1,
5436,124,10,3,False,51,3,
5437,103,3,4,False,68,2,Jong brandstof staal zorg genoeg.
5438,187,6,4,False,51,1,Antwoorden oorzaak vergissen ver schaap.
5439,134,2,3,True,57,3,Plaatje start vernietigen naald rechts vergissen.
5440,139,2,5,True,21,4,Voedsel prinses vandaag papa.
5441,172,8,2,False,41,3,Kopen afval schijnen ring.
5442,133,3,3,False,106,2,
5443,188,10,3,False,94,3,Meerdere idee ontwikkelen zo potlood boos.
5444,95,8,3,True,56,2,Zwembad mengsel telefoon.
5445,149,8,5,False,13,1,Per pijn wetenschap meerdere vers naald.
5446,77,7,4,False,115,2,
5447,11,5,2,False,64,2,Blad voorkomen woord rook verleden hoofd.
5448,7,5,1,False,41,4,
5449,76,5,3,False,111,4,Belofte plaat examen open dragen hen bevatten.
5450,106,2,1,True,95,1,Vroeg hun antwoord overvallen.
5451,15,2,4,True,37,4,
5452,109,3,5,False,74,2,
5453,67,2,4,False,102,1,
5454,5,3,5,False,114,3,
5455,163,4,2,False,75,2,Waar borstelen verder examen vertrouwen dubbel.
5456,113,10,5,False,90,4,Gewoon tien vijand laat stap verf.
5457,196,5,2,True,62,3,
5458,117,4,1,False,60,1,
5459,62,9,2,True,36,1,
5460,89,8,5,False,42,1,Start perfect melk roze.
5461,20,6,1,True,103,2,
5462,173,10,5,False,50,4,
5463,100,7,2,True,75,2,
5464,125,7,1,False,11,2,
5465,57,8,3,True,82,3,Koffer zoals brandstof eten graf richting.
5466,129,2,1,True,107,4,
5467,44,5,2,True,84,4,Munt scheiden alsjeblieft wijn.
5468,132,7,5,False,15,3,Wonder bel beest plank vrij melk been tekenen.
5469,45,7,3,False,82,4,Tafel verzamelen boete dag onze seconde naam.
5470,116,5,2,True,84,3,
5471,13,8,5,False,111,1,Reeds modern wetenschap afspraak oog.
5472,90,3,4,False,29,1,Woud slapen paard zwemmen.
5473,95,4,1,False,84,1,
5474,178,3,5,True,116,2,Meer ster welke nodig kom koningin.
5475,48,7,2,False,93,1,
5476,74,4,1,False,33,2,Idee teken miljoen verenigen midden in melk minder.
5477,25,5,4,True,24,2,
5478,75,10,2,False,120,2,
5479,100,3,3,False,86,4,
5480,27,8,1,True,46,2,Populair prinses zaak eenheid van vertrekken.
5481,52,9,3,True,111,2,Dorp rekenmachine jong voedsel stof u.
5482,67,2,5,True,117,2,
5483,171,3,2,True,86,3,
5484,19,9,2,True,111,3,
5485,175,7,2,True,92,3,
5486,22,10,2,False,68,4,
5487,143,4,4,False,31,1,
5488,67,9,2,True,99,1,
5489,58,6,4,True,113,4,Vlag verf olifant.
5490,87,7,1,True,114,4,
5491,27,6,3,True,24,3,
5492,13,3,3,False,32,1,
5493,96,3,3,False,87,2,
5494,116,2,4,False,19,4,
5495,121,6,1,False,74,2,
5496,62,9,5,True,85,2,Koken scherp enkele.
5497,7,4,4,False,101,2,Wereld los leven stoffig koken stad stad noot.
5498,2,2,4,False,112,3,Steun leeuw of weer.
5499,59,5,4,False,68,4,
