gesprek_id,datum_id,gemeente_id,instroomtype_id,voltooid,match_getoond,duur_minuten,leefstijlscore_totaal,score_voeding,score_beweging,score_ontspanning,score_slaap,score_verbinding,score_middelen
88,995,1,1,False,False,8,,,,,,,
89,4,3,3,True,True,51,6.58,7.5,5.8,3.8,6.8,8.1,7.5
90,247,2,2,True,True,55,5.63,6.4,6.2,7.0,3.2,6.7,4.3
91,574,3,2,True,True,53,5.1,6.8,1.6,5.0,6.7,5.2,5.3
92,444,3,1,True,True,33,7.0,4.8,7.1,8.3,5.8,8.9,7.1
93,1057,1,1,False,False,13,,,,,,,
94,830,1,3,True,True,21,6.38,5.3,6.6,7.9,4.6,6.3,7.6
95,64,3,3,True,True,30,6.52,8.7,4.7,7.1,5.5,6.1,7.0
96,994,3,1,True,True,57,3.63,2.3,5.3,5.6,2.9,2.6,3.1
97,1034,4,2,True,True,28,6.38,5.0,6.3,6.0,8.5,5.3,7.2
98,482,5,3,True,True,50,4.27,5.0,2.1,4.6,2.8,6.2,4.9
99,192,3,2,True,True,21,7.07,7.4,7.3,6.0,7.5,7.5,6.7
100,974,5,4,False,False,16,,,,,,,
101,703,1,2,True,True,29,5.8,3.5,6.8,7.2,8.5,4.9,3.9
102,317,2,4,True,True,13,6.43,5.5,8.6,5.0,7.6,6.5,5.4
103,425,4,1,True,True,40,6.58,6.9,8.7,7.8,6.5,7.0,2.6
104,553,2,2,True,True,47,6.2,4.0,7.6,8.7,5.6,6.4,4.9
105,442,3,4,True,True,28,5.55,6.0,8.3,7.9,4.6,1.7,4.8
106,573,5,3,True,False,23,6.47,5.6,6.2,6.8,6.9,6.7,6.6
107,981,3,3,True,True,55,4.78,1.8,2.5,5.0,6.6,5.4,7.4
108,369,2,1,True,False,24,5.6,5.8,4.9,6.7,8.3,4.9,3.0
109,83,1,1,True,True,19,5.73,5.2,7.1,4.1,6.9,4.1,7.0
110,1020,4,2,False,False,8,,,,,,,
111,1023,2,2,True,True,30,5.63,2.9,3.8,5.0,6.3,8.0,7.8
112,903,3,1,True,True,19,5.98,6.5,6.7,3.2,8.0,4.3,7.2
113,790,4,4,True,True,30,5.03,3.1,6.5,4.9,4.7,6.8,4.2
114,554,2,3,True,True,21,6.3,3.2,4.4,7.2,8.2,6.1,8.7
115,284,4,3,True,False,36,5.48,6.2,5.1,4.7,5.6,8.2,3.1
116,102,5,2,True,False,39,5.62,4.0,6.6,4.1,6.1,7.6,5.3
117,830,2,2,True,True,24,5.98,6.3,3.6,5.5,8.6,8.2,3.7
118,794,3,5,False,False,7,,,,,,,
119,570,1,4,True,True,18,6.17,8.0,3.9,6.4,4.6,6.6,7.5
120,1062,3,1,True,True,53,6.82,8.5,6.7,4.3,6.7,6.9,7.8
121,702,5,5,True,True,15,3.88,4.3,3.0,2.8,3.3,3.2,6.7
122,128,4,1,True,True,20,5.67,2.7,2.5,8.2,7.3,8.0,5.3
123,879,5,1,True,False,35,5.63,5.6,6.2,4.3,5.5,4.2,8.0
124,889,4,2,False,False,11,,,,,,,
125,382,4,2,True,True,26,6.58,5.9,6.0,3.5,8.0,8.3,7.8
126,412,3,4,False,False,10,,,,,,,
127,219,3,1,False,False,13,,,,,,,
128,704,5,2,True,True,17,7.38,9.6,6.5,6.4,8.5,6.3,7.0
129,785,3,3,False,False,8,,,,,,,
130,465,2,2,True,True,38,6.52,7.4,4.1,6.1,7.0,6.9,7.6
131,764,1,1,False,False,17,,,,,,,
132,82,2,5,False,False,7,,,,,,,
133,818,4,1,True,False,23,5.55,5.5,9.5,3.9,5.0,3.5,5.9
134,115,2,1,True,True,28,5.15,5.2,2.6,3.4,6.9,5.9,6.9
135,1089,4,1,True,True,26,5.25,6.6,2.5,4.1,4.2,7.2,6.9
136,1062,4,1,False,False,15,,,,,,,
137,391,5,3,True,True,49,6.45,5.8,6.5,6.9,7.4,5.6,6.5
138,1012,2,3,False,False,10,,,,,,,
139,1071,3,2,True,True,44,6.78,8.5,7.5,6.0,6.5,8.9,3.3
140,422,3,3,True,False,31,6.07,7.4,5.7,6.2,6.9,6.0,4.2
141,675,3,2,False,False,4,,,,,,,
142,640,1,3,True,True,37,5.43,7.8,2.4,5.3,4.0,6.1,7.0
143,26,1,5,True,False,31,6.1,6.1,6.6,5.7,6.5,9.3,2.4
144,52,4,2,True,True,52,6.03,4.2,3.2,5.9,8.1,8.5,6.3
145,745,4,2,True,False,23,7.18,7.9,7.5,9.1,5.6,8.0,5.0
146,1049,1,4,True,False,45,7.38,8.8,8.1,8.0,6.2,6.1,7.1
147,1086,5,3,True,True,43,6.47,9.2,3.0,7.3,6.9,6.3,6.1
148,432,5,2,True,True,28,6.33,8.0,7.3,5.8,4.6,5.5,6.8
149,483,1,4,True,True,28,5.12,7.8,4.0,4.8,3.3,3.7,7.1
150,507,4,4,True,False,40,4.22,2.3,6.4,4.3,5.1,4.7,2.5
151,866,5,3,True,True,36,5.9,6.1,7.6,3.1,4.3,5.3,9.0
152,729,5,5,True,False,31,5.73,3.2,8.1,6.1,5.2,6.5,5.3
153,512,4,1,True,True,21,5.45,4.4,5.6,5.2,6.7,7.8,3.0
154,713,3,1,True,False,29,4.5,3.0,6.5,3.0,4.2,5.9,4.4
155,523,2,1,True,True,41,5.68,4.9,3.7,6.2,6.2,4.1,9.0
156,268,2,1,True,True,12,6.32,4.5,2.1,8.1,5.8,8.0,9.4
157,516,1,3,True,True,40,6.53,8.0,3.9,6.8,7.0,6.5,7.0
158,1024,4,2,True,True,32,5.72,3.9,8.7,7.9,5.4,5.6,2.8
159,576,3,2,False,False,8,,,,,,,
160,782,1,1,True,False,34,3.23,1.9,2.6,4.4,1.4,4.0,5.1
161,263,1,2,True,True,14,5.22,5.4,2.6,6.1,5.1,8.3,3.8
162,1091,3,1,True,False,47,5.02,1.4,5.0,6.2,4.9,7.0,5.6
163,954,1,1,True,False,49,5.47,4.8,3.1,4.4,7.0,6.3,7.2
164,188,2,5,True,True,30,6.85,8.5,2.8,8.2,7.9,6.5,7.2
165,527,2,3,True,True,34,6.23,4.1,7.5,6.2,6.2,5.6,7.8
166,867,2,2,True,False,18,6.23,5.4,7.7,3.6,6.7,5.8,8.2
167,875,1,1,True,False,16,6.23,7.8,8.5,5.1,4.9,6.1,5.0
168,98,1,2,True,False,34,7.05,7.9,5.6,5.6,8.0,9.3,5.9
169,544,2,1,True,True,11,6.62,8.9,7.0,5.2,6.1,6.9,5.6
170,343,3,1,True,True,26,6.57,6.4,6.9,8.2,6.2,6.7,5.0
171,849,1,2,True,True,25,4.88,8.5,4.2,1.6,2.8,6.5,5.7
172,655,4,2,False,False,16,,,,,,,
173,660,4,2,True,True,28,6.02,3.7,6.1,5.4,9.4,7.9,3.6
174,1075,1,2,True,False,26,6.58,6.8,6.2,6.2,6.1,8.1,6.1
175,591,2,1,True,True,20,5.25,5.4,4.8,5.7,7.9,4.1,3.6
176,763,2,4,False,False,14,,,,,,,
177,1094,1,1,True,True,16,6.53,4.6,7.6,6.6,6.5,6.9,7.0
178,28,2,3,True,True,22,6.02,5.8,3.5,8.7,7.4,7.6,3.1
179,301,1,1,True,True,44,6.62,5.8,7.1,7.5,5.7,8.2,5.4
180,423,3,3,False,False,8,,,,,,,
181,182,1,2,True,False,34,5.73,7.1,4.7,8.1,2.4,7.8,4.3
182,187,5,3,True,True,47,6.68,6.8,7.5,4.7,7.7,7.5,5.9
183,565,5,3,True,True,34,4.07,5.7,5.1,3.3,2.8,2.7,4.8
184,426,4,2,True,True,50,6.02,4.5,8.0,7.4,8.8,3.1,4.3
185,693,3,1,True,False,18,4.02,1.9,4.6,3.4,5.4,5.1,3.7
186,856,4,4,True,True,19,6.95,5.7,7.9,8.2,7.2,7.9,4.8
187,568,2,2,True,False,23,6.18,4.7,8.4,4.3,6.3,7.7,5.7
188,632,5,3,True,False,27,6.65,9.2,7.0,8.8,5.0,3.2,6.7
189,119,5,1,False,False,12,,,,,,,
190,371,2,4,True,False,33,7.13,8.9,7.4,6.4,5.9,6.8,7.4
191,455,4,1,True,True,14,7.33,8.1,4.1,7.5,5.7,9.1,9.5
192,652,4,1,True,True,33,6.9,5.8,7.2,7.9,9.1,7.8,3.6
193,639,4,1,True,True,17,7.0,7.5,6.3,8.5,6.2,6.6,6.9
194,382,4,3,True,True,34,5.27,7.1,6.4,5.0,3.3,5.8,4.0
195,995,2,3,True,True,29,6.8,5.2,9.1,6.5,5.0,6.4,8.6
196,112,1,2,True,True,31,4.88,6.5,6.5,6.3,3.4,3.6,3.0
197,1024,3,3,True,False,25,6.57,6.0,7.4,7.5,5.8,5.1,7.6
198,949,2,2,True,False,17,5.88,5.4,4.0,7.9,6.3,6.9,4.8
199,633,3,2,True,True,25,5.73,7.1,5.4,4.5,5.2,6.0,6.2
200,497,1,2,True,True,41,6.25,6.3,8.9,6.2,3.6,3.8,8.7
201,26,4,3,False,False,8,,,,,,,
202,1025,4,3,True,True,35,5.18,4.2,6.0,5.1,8.4,5.7,1.7
203,670,2,4,True,False,20,4.47,7.0,3.0,3.4,8.1,2.4,2.9
204,388,4,1,True,False,49,5.5,6.1,4.9,5.6,3.7,7.9,4.8
205,314,3,2,True,True,32,6.45,8.6,9.1,2.3,6.1,7.0,5.6
206,494,3,5,True,True,34,6.23,6.8,5.6,4.8,7.8,3.9,8.5
207,1045,3,1,True,True,22,6.33,5.0,5.6,8.7,7.4,8.6,2.7
208,554,1,4,True,True,49,7.02,7.9,7.5,6.1,8.1,5.5,7.0
209,878,3,2,True,True,21,6.13,7.9,4.0,8.7,6.2,3.2,6.8
210,670,1,1,True,False,25,6.63,7.4,9.0,7.0,8.4,2.9,5.1
211,1084,5,1,True,True,26,5.93,5.3,8.4,7.5,8.4,1.8,4.2
212,402,1,2,True,True,18,6.57,4.5,9.8,5.8,8.7,5.3,5.3
213,376,1,2,True,True,55,5.9,5.6,6.1,1.9,7.3,6.8,7.7
214,1084,4,3,True,True,31,5.4,7.3,2.1,7.6,2.7,4.6,8.1
215,808,2,1,True,True,29,6.25,6.4,5.1,2.8,7.7,7.3,8.2
216,928,2,4,True,True,23,5.28,2.1,4.7,8.7,5.6,4.4,6.2
217,203,2,1,True,False,18,5.28,7.4,2.0,7.0,8.0,2.6,4.7
218,828,2,1,True,True,48,6.13,8.9,5.8,4.0,4.2,7.1,6.8
219,642,4,1,True,True,42,5.35,7.4,7.0,4.1,5.1,5.7,2.8
220,537,5,1,False,False,7,,,,,,,
221,92,5,2,True,False,39,5.8,5.7,7.8,8.8,3.5,6.7,2.3
222,9,5,5,False,False,6,,,,,,,
223,870,3,1,True,False,42,5.87,8.5,5.3,5.9,3.1,6.2,6.2
224,922,4,1,True,False,34,5.35,5.0,7.9,2.5,3.0,5.6,8.1
225,822,3,5,True,True,23,5.65,7.0,5.0,4.8,5.0,7.6,4.5
226,753,2,5,True,False,30,5.97,7.8,4.6,6.0,5.9,5.4,6.1
227,377,1,4,False,False,11,,,,,,,
228,635,1,2,False,False,14,,,,,,,
229,17,4,1,True,True,40,7.0,6.8,7.1,7.8,8.7,6.7,4.9
230,338,4,2,True,True,43,6.13,6.7,7.3,8.2,5.5,5.6,3.5
231,354,1,1,False,False,8,,,,,,,
232,955,1,3,True,False,48,6.07,4.4,5.2,2.1,9.3,8.7,6.7
233,211,1,1,False,False,17,,,,,,,
234,240,2,1,False,False,14,,,,,,,
235,47,2,1,True,True,46,5.38,5.6,2.9,3.0,8.6,8.1,4.1
236,321,3,1,True,True,48,4.73,5.9,3.8,4.1,5.3,6.5,2.8
237,576,2,5,True,False,35,6.58,7.4,7.7,8.0,5.9,3.7,6.8
238,98,2,4,False,False,10,,,,,,,
239,283,4,4,False,False,18,,,,,,,
240,974,2,1,True,True,30,5.38,4.8,6.1,4.6,6.4,6.7,3.7
241,1074,4,2,True,True,45,5.77,4.1,6.2,4.6,6.8,8.2,4.7
242,329,2,2,True,True,26,5.17,8.2,5.4,4.7,4.9,2.7,5.1
243,1069,2,1,True,False,28,4.4,1.8,6.1,2.9,4.6,3.7,7.3
244,899,2,1,True,True,17,7.07,7.5,6.5,6.6,7.4,7.5,6.9
245,808,1,2,True,True,18,6.42,6.1,5.7,8.4,5.3,6.6,6.4
246,135,5,2,True,True,32,5.52,6.1,9.7,6.9,4.1,3.5,2.8
247,989,2,1,True,True,48,4.23,4.0,4.6,3.8,5.3,3.6,4.1
248,1039,2,5,True,True,24,5.85,3.3,6.9,2.1,7.4,7.3,8.1
249,86,2,3,False,False,12,,,,,,,
250,440,1,1,False,False,10,,,,,,,
251,472,4,1,True,True,20,5.42,3.5,4.5,6.4,3.4,6.3,8.4
252,553,5,1,True,True,41,6.67,6.9,4.7,8.3,6.7,6.2,7.2
253,358,2,1,True,True,37,4.43,5.1,5.9,2.6,4.2,4.2,4.6
254,590,3,1,True,True,24,7.22,6.2,4.8,8.1,9.5,7.4,7.3
255,446,2,2,True,False,22,5.95,6.1,8.2,7.4,5.2,5.1,3.7
256,992,4,3,False,False,7,,,,,,,
257,942,2,1,True,True,43,5.47,7.1,6.4,6.0,6.8,3.2,3.3
258,366,2,1,True,True,37,5.18,5.1,2.2,4.5,3.9,7.1,8.3
259,580,2,2,True,False,31,4.98,5.2,5.4,4.9,4.8,4.3,5.3
260,65,3,2,True,True,30,5.87,7.4,4.0,7.4,5.0,5.3,6.1
261,220,2,1,True,False,12,6.35,7.6,3.0,4.3,6.5,9.1,7.6
262,326,5,1,True,True,40,6.28,9.3,7.6,6.4,5.0,6.4,3.0
263,927,2,2,True,True,14,5.68,6.4,3.9,3.9,4.3,6.3,9.3
264,627,3,1,True,True,36,4.93,6.2,1.8,5.1,7.7,5.8,3.0
265,244,5,1,True,True,25,5.47,5.5,5.0,4.5,8.4,5.3,4.1
266,74,2,1,True,False,30,5.95,3.7,4.2,8.3,8.4,6.6,4.5
267,536,5,3,False,False,3,,,,,,,
268,24,3,5,True,True,25,5.25,4.4,5.8,7.2,4.7,3.8,5.6
269,396,4,1,True,True,35,6.67,7.6,6.0,7.3,3.0,6.5,9.6
270,1087,5,5,True,True,38,4.4,7.8,8.7,3.2,2.6,2.7,1.4
271,564,1,1,True,True,42,5.57,7.7,6.7,5.8,7.5,3.7,2.0
272,368,2,4,True,True,18,6.3,5.8,6.0,6.2,6.4,6.6,6.8
273,227,3,3,False,False,8,,,,,,,
274,845,5,1,True,True,35,5.47,4.8,4.6,7.7,5.1,7.6,3.0
275,570,3,4,False,False,15,,,,,,,
276,399,5,4,False,False,8,,,,,,,
277,556,1,2,False,False,11,,,,,,,
278,846,4,1,True,False,43,5.47,9.1,5.4,4.6,5.3,2.7,5.7
279,165,2,5,True,True,44,5.63,5.4,3.1,4.9,5.9,8.6,5.9
280,702,5,2,True,True,30,6.87,7.1,2.8,7.5,8.6,5.5,9.7
281,366,2,2,False,False,9,,,,,,,
282,500,3,3,False,False,5,,,,,,,
283,481,4,1,True,True,47,5.6,5.3,5.0,5.9,7.4,5.4,4.6
284,564,3,3,True,True,26,5.7,5.5,7.0,6.9,4.5,4.8,5.5
285,56,2,2,True,True,26,6.32,5.6,8.0,6.9,5.2,5.3,6.9
286,548,1,1,False,False,9,,,,,,,
287,1070,2,2,True,True,43,5.55,6.0,6.7,8.2,5.2,1.9,5.3
288,698,5,4,True,True,39,5.27,5.5,3.9,7.6,6.5,3.4,4.7
289,313,5,4,False,False,13,,,,,,,
290,692,2,3,True,True,30,6.2,7.5,7.2,4.6,4.1,7.8,6.0
291,120,1,1,True,True,30,5.07,3.2,7.6,5.1,6.4,3.8,4.3
292,571,2,1,True,True,46,5.23,4.9,3.9,5.2,5.3,5.6,6.5
293,476,5,4,False,False,6,,,,,,,
294,455,5,1,True,True,46,6.28,6.0,6.3,6.8,5.0,7.9,5.7
295,490,3,4,False,False,14,,,,,,,
296,264,5,2,False,False,12,,,,,,,
297,523,1,2,True,True,21,6.38,5.0,8.5,6.1,6.8,3.5,8.4
298,49,2,1,True,False,48,6.73,5.1,6.2,6.9,7.4,5.5,9.3
299,731,1,1,True,True,44,5.7,5.9,2.2,5.2,7.7,7.6,5.6
300,63,2,1,True,True,35,5.8,9.2,4.3,2.6,7.1,2.9,8.7
301,147,2,2,True,True,39,6.1,6.8,5.1,6.1,6.0,7.1,5.5
302,98,4,2,True,True,32,5.73,4.8,5.6,2.7,7.3,8.5,5.5
303,7,2,1,True,True,36,6.63,6.5,8.6,5.1,4.0,7.6,8.0
304,270,2,4,True,True,24,6.97,7.0,4.4,8.6,7.9,7.7,6.2
305,200,3,4,False,False,8,,,,,,,
306,145,4,2,True,True,39,4.18,4.5,2.9,4.0,2.3,5.9,5.5
307,1077,3,1,True,True,18,5.68,4.2,7.0,4.4,8.6,5.1,4.8
308,510,2,2,True,True,17,6.8,6.3,6.3,7.0,9.1,5.6,6.5
309,310,1,5,True,True,27,5.72,6.8,3.7,6.6,4.3,4.9,8.0
310,595,3,2,True,False,40,4.82,5.3,5.8,4.2,4.0,2.6,7.0
311,498,5,2,False,False,7,,,,,,,
312,83,3,2,True,True,35,6.22,8.3,4.6,6.7,7.6,2.1,8.0
313,787,5,1,True,True,40,4.45,4.7,4.1,3.6,6.2,5.8,2.3
314,984,3,1,True,False,17,6.13,6.9,5.4,7.1,6.1,5.2,6.1
315,697,1,1,True,True,17,6.35,5.8,7.0,9.2,7.0,3.8,5.3
316,532,2,1,True,True,11,5.9,6.6,8.4,6.2,6.4,5.6,2.2
317,567,3,2,False,False,7,,,,,,,
318,296,4,4,True,False,50,4.37,2.2,4.7,6.7,1.8,4.4,6.4
319,478,5,3,True,True,38,6.37,8.4,8.5,2.8,5.6,7.4,5.5
320,320,5,1,True,True,50,6.1,6.4,5.9,5.4,6.0,4.3,8.6
321,539,2,2,True,False,14,5.78,4.5,7.9,3.3,4.3,7.1,7.6
322,143,3,1,True,False,26,6.05,6.0,9.8,4.6,5.3,8.1,2.5
323,762,2,2,True,True,42,6.55,7.3,7.5,6.5,7.7,5.1,5.2
324,831,2,3,True,True,30,5.08,3.1,8.2,6.5,4.2,2.7,5.8
325,1024,5,4,True,False,42,5.48,2.3,6.6,9.0,4.3,3.7,7.0
326,383,5,1,True,False,31,5.92,7.2,5.1,7.2,4.2,5.2,6.6
327,212,4,1,True,False,13,6.13,8.2,4.9,8.1,3.5,9.4,2.7
328,824,5,2,True,False,14,5.75,5.8,2.5,8.6,5.7,5.2,6.7
329,110,1,1,True,True,19,6.28,7.5,5.6,4.6,8.8,4.8,6.4
330,240,2,1,False,False,10,,,,,,,
331,995,1,1,True,True,26,5.9,6.7,7.1,4.3,5.4,5.7,6.2
332,857,5,1,True,True,50,6.45,6.6,3.6,7.7,5.7,9.2,5.9
333,296,3,1,True,True,18,5.93,7.5,4.6,3.9,8.7,7.3,3.6
334,831,5,1,True,True,41,5.7,4.3,4.1,5.1,7.6,5.8,7.3
335,879,1,1,True,False,31,6.52,5.2,7.6,5.3,6.0,9.0,6.0
336,958,1,1,True,True,13,5.55,3.8,3.0,7.7,5.1,6.1,7.6
337,546,3,2,True,True,32,5.35,4.0,8.1,7.0,2.2,6.2,4.6
338,703,2,1,True,False,26,6.13,4.9,6.1,5.5,7.0,4.7,8.6
339,218,4,1,False,False,13,,,,,,,
340,1016,3,1,True,True,25,5.38,2.1,6.6,3.9,6.4,7.8,5.5
341,60,3,1,True,True,46,5.35,5.8,7.9,5.0,3.6,4.0,5.8
342,546,1,4,True,True,25,4.22,1.5,4.8,6.3,4.4,4.6,3.7
343,678,5,1,True,True,26,7.18,8.3,4.4,6.2,7.7,8.9,7.6
344,217,4,1,False,False,16,,,,,,,
345,137,1,1,True,False,16,6.82,9.2,8.0,4.4,7.8,8.4,3.1
346,910,1,4,True,True,26,6.48,6.2,5.9,7.1,2.9,7.4,9.4
347,629,2,4,True,False,23,5.65,4.2,6.5,3.7,7.6,8.0,3.9
348,644,1,1,True,True,30,5.77,3.0,8.2,6.1,4.4,7.3,5.6
349,727,1,1,True,True,42,5.73,7.4,4.8,7.6,5.5,5.9,3.2
350,398,3,5,False,False,7,,,,,,,
351,427,3,5,True,True,29,5.37,4.6,4.3,4.4,8.7,7.2,3.0
352,243,5,2,True,True,20,6.4,7.3,9.5,5.3,5.8,4.7,5.8
353,1078,1,2,False,False,13,,,,,,,
354,331,3,2,True,False,21,5.48,4.9,9.7,6.6,5.4,3.3,3.0
355,509,3,2,True,False,39,6.42,6.2,5.7,9.6,8.0,7.6,1.4
356,1079,2,2,True,False,30,6.22,2.1,8.4,6.1,8.3,3.0,9.4
357,746,1,2,True,False,45,4.88,2.7,6.2,5.0,5.7,3.1,6.6
358,433,4,5,False,False,18,,,,,,,
359,617,4,4,False,False,9,,,,,,,
360,993,5,2,True,True,24,6.75,6.2,9.6,4.0,5.1,8.6,7.0
361,1044,3,3,True,False,16,6.67,5.3,8.9,6.8,8.7,5.3,5.0
362,97,5,2,True,True,52,6.08,8.2,4.1,3.0,6.1,8.2,6.9
363,466,4,1,True,True,23,5.97,5.6,4.6,5.4,6.6,7.5,6.1
364,400,3,1,True,True,25,6.25,4.8,5.4,6.4,7.6,6.6,6.7
