tevredenheid_id,medewerker_id,patient_id,tevredenheid
192,3,1547,5
193,4,1165,7
194,1,395,10
195,2,989,10
196,5,37,4
197,3,1423,8
198,4,157,2
199,3,1714,1
200,2,1701,1
201,4,840,7
202,2,565,1
203,5,1176,3
204,3,151,2
205,2,765,3
206,1,884,9
207,5,561,6
208,1,1238,6
209,2,1551,7
210,1,745,4
211,5,365,5
212,3,228,7
213,2,1304,8
214,2,759,10
215,5,276,7
216,4,193,1
217,5,1955,10
218,2,1330,4
219,4,1568,3
220,2,570,10
221,3,1844,7
222,4,1474,6
223,5,1476,10
224,4,1728,5
225,1,643,5
226,5,1646,1
227,2,340,1
228,1,1624,10
229,3,1058,8
230,3,194,4
231,4,99,8
232,1,1589,3
233,3,1400,5
234,1,1486,6
235,1,1067,3
236,4,329,10
237,5,1143,3
238,3,912,10
239,3,1556,1
240,3,1331,2
241,2,1415,9
242,2,962,1
243,1,1780,4
244,5,49,7
245,5,988,2
246,3,1485,2
247,4,7,4
248,1,1369,9
249,2,127,8
250,4,549,1
251,3,1206,8
252,3,1480,10
253,3,963,9
254,2,177,1
255,4,241,7
256,3,1344,7
257,3,1789,2
258,5,1167,1
259,5,1400,6
260,5,1163,5
261,4,779,5
262,1,58,10
263,1,1992,5
264,1,271,3
265,1,1871,9
266,4,247,10
267,1,1450,8
268,1,1287,4
269,2,1308,6
270,2,271,8
271,4,901,8
272,2,936,1
273,5,1139,3
274,4,1663,2
275,4,635,2
276,2,428,7
277,3,1964,1
278,3,1713,3
279,5,38,6
280,2,937,6
281,1,1267,9
282,3,1158,7
283,2,870,10
284,5,1095,9
285,2,1004,5
286,1,962,2
287,3,727,7
288,5,974,1
289,2,576,9
290,4,80,8
291,2,1577,8
292,4,1078,1
293,4,1268,4
294,3,143,7
295,2,482,2
296,4,1593,2
297,4,792,9
298,4,1911,3
299,3,1228,5
300,3,1923,2
301,1,424,8
302,5,1302,7
303,5,1222,7
304,4,1066,6
305,3,1259,5
306,4,1130,7
307,3,439,5
308,1,327,9
309,1,1074,10
310,2,1475,10
311,5,573,5
312,1,636,7
313,4,1664,10
314,4,1578,5
315,2,626,7
316,2,1397,6
317,4,455,6
318,5,1795,6
319,1,836,9
320,3,577,2
321,3,817,6
322,5,600,4
323,5,931,8
324,3,195,4
325,1,1062,1
326,5,273,4
327,1,1112,8
328,4,390,10
329,3,751,9
330,1,172,5
331,3,1569,3
332,3,799,6
333,5,1120,7
334,1,1360,7
335,5,1513,1
336,1,725,4
337,2,1411,3
338,2,512,5
339,2,1705,10
340,3,1499,6
341,5,1401,8
342,2,1046,2
343,3,616,6
344,2,1706,7
345,5,977,9
346,2,1168,1
347,1,1482,5
348,4,1519,8
349,3,1457,1
350,3,1701,6
351,2,1464,2
352,4,347,2
353,5,1877,7
354,2,806,6
355,3,32,5
356,5,1060,7
357,2,1494,2
358,2,1316,2
359,3,206,5
360,2,1526,8
361,4,614,10
362,5,1729,9
363,4,743,4
364,1,450,7
365,4,1363,2
366,5,1108,9
367,1,1254,7
368,2,488,8
369,5,1003,2
370,2,18,2
371,2,1450,2
372,5,1710,10
373,4,707,7
374,4,990,10
375,2,1456,3
376,2,42,7
377,5,1323,7
378,1,528,9
379,1,760,3
380,5,392,8
381,5,1340,7
382,1,616,6
383,4,457,2
384,2,1090,1
385,5,554,9
386,4,356,5
387,4,1903,3
388,2,731,2
389,2,1727,5
390,2,1709,10
391,3,1812,3
392,3,1786,10
393,5,1277,5
394,2,558,9
395,2,168,5
396,3,1171,10
397,1,1584,8
398,4,276,6
399,4,522,4
400,2,1241,10
401,3,188,5
402,5,717,1
403,5,584,9
404,1,841,9
405,4,676,1
406,5,802,7
407,4,1364,6
408,5,1639,3
409,2,1007,7
410,3,1394,5
411,5,1605,2
412,3,1302,10
413,5,1187,10
414,2,1246,3
415,3,1637,4
416,3,655,7
417,2,1670,4
418,4,1719,9
419,1,1419,7
420,5,1799,6
421,3,1617,1
422,1,1236,6
423,2,899,4
424,2,30,7
425,1,767,9
426,2,73,8
427,3,1943,1
428,1,64,7
429,3,330,5
430,2,917,3
431,2,1232,9
432,4,1602,10
433,3,1046,10
434,2,1449,9
435,3,1052,8
436,4,1599,1
437,3,657,9
438,4,1513,1
439,1,1286,8
440,5,408,2
441,1,1659,4
442,4,1236,4
443,2,122,6
444,5,307,9
445,4,1414,3
446,5,318,1
447,4,1639,7
448,5,557,9
449,4,1491,10
450,1,216,3
451,4,312,3
452,3,878,8
453,5,907,8
454,1,522,4
455,1,966,5
456,2,583,6
457,5,745,1
458,2,530,2
459,2,120,7
460,1,1464,2
461,3,933,1
462,1,802,6
463,3,1891,10
464,3,1245,2
465,4,336,5
466,4,904,1
467,3,1262,3
468,3,1395,1
469,2,1173,3
470,3,1402,6
471,1,617,8
472,3,965,10
473,2,1063,7
474,4,1218,10
475,4,1634,8
476,2,370,8
477,2,1838,4
478,3,1257,9
479,3,956,9
480,1,1878,1
481,3,65,1
482,2,1905,6
483,4,498,10
484,2,456,5
485,1,451,9
486,5,1626,4
487,2,693,6
488,3,1134,3
489,1,80,9
490,5,1475,9
491,5,1132,8
492,2,413,3
493,3,291,2
494,4,873,2
495,5,1504,3
496,5,211,3
497,5,660,5
498,2,838,6
499,1,1566,9
500,3,513,6
501,3,1745,9
502,4,280,9
503,4,1548,10
504,2,618,1
505,2,173,3
506,4,433,3
507,2,1519,9
508,1,875,5
509,4,1146,8
510,5,1074,3
511,3,1141,10
512,3,1014,3
513,2,833,9
514,1,1293,2
515,5,761,6
516,4,253,7
517,3,563,8
518,4,1281,7
519,4,1022,9
520,1,288,8
521,1,389,6
522,1,1638,3
523,3,540,2
524,4,822,2
525,4,1617,4
526,3,230,1
527,2,166,10
528,2,819,2
529,5,867,3
530,3,1351,9
531,4,1953,6
532,3,111,10
533,4,1651,1
534,4,566,8
535,4,599,7
536,5,1718,5
537,2,1863,7
538,4,1385,2
539,5,152,7
540,3,1006,6
541,3,748,3
542,3,1557,5
543,3,1720,8
544,2,1160,2
545,2,89,4
546,5,104,9
547,3,1260,8
548,3,1626,1
549,5,1833,10
550,5,1409,1
551,4,429,3
552,4,1073,7
553,5,1581,4
554,1,924,9
555,1,1848,9
556,2,790,3
557,2,763,9
558,4,589,5
559,1,529,5
560,5,618,4
561,1,527,4
562,3,372,4
563,2,235,9
564,1,313,5
565,1,1999,3
566,1,1752,7
567,3,1483,6
568,2,144,8
569,2,709,10
570,1,1436,9
571,2,1608,8
572,3,1881,4
573,4,1829,9
574,1,949,2
575,2,226,2
576,1,259,3
577,4,973,10
578,4,790,7
579,3,1222,9
580,2,324,8
581,4,999,7
582,4,765,7
583,5,1024,7
584,3,1638,5
585,5,933,8
586,1,1892,5
587,1,317,10
588,4,510,10
589,5,352,4
590,1,1490,9
591,2,839,1
592,2,983,3
593,2,1422,8
594,2,1922,4
595,1,1811,8
596,3,1826,10
597,3,1349,4
598,4,1821,8
599,5,1517,2
600,1,222,5
601,3,1401,6
602,4,1119,4
603,5,175,4
604,3,1654,7
605,4,1767,9
606,2,390,9
607,4,1274,4
608,5,633,6
609,2,1122,1
610,2,1350,6
611,4,1576,4
612,1,1189,8
613,3,732,2
614,5,1175,10
615,4,1539,8
616,4,22,3
617,2,1814,10
618,1,1805,6
619,4,590,8
620,2,1180,9
621,2,1729,7
622,1,1418,4
623,1,541,3
624,2,224,6
625,1,337,9
626,5,908,4
627,1,1506,7
628,1,97,1
629,4,513,6
630,3,1585,7
631,5,1806,9
632,5,1165,4
633,5,800,9
634,2,1058,10
635,4,671,6
636,2,1016,2
637,3,385,1
638,2,840,8
639,2,1545,2
640,3,409,8
641,2,1328,9
642,2,546,10
643,3,1126,4
644,3,1290,4
645,5,740,5
646,2,481,6
647,4,1489,3
648,4,1904,10
649,5,304,10
650,1,1649,8
651,1,286,2
652,3,633,6
653,3,1441,4
654,4,384,10
655,4,421,2
656,5,255,5
657,4,228,3
658,1,1195,10
659,5,1253,1
660,5,1227,7
661,4,1224,4
662,4,853,6
663,1,26,8
664,1,610,5
665,5,596,6
666,4,387,8
667,5,520,7
668,1,1823,9
669,1,160,2
670,2,130,1
671,4,1356,8
672,1,607,7
673,1,1379,4
674,3,1027,3
675,4,1287,1
676,5,1086,10
677,5,1809,5
678,3,1432,9
679,3,941,6
680,3,1008,4
681,5,59,10
682,1,1029,5
683,2,1839,8
684,1,1744,7
685,4,1641,10
686,5,630,10
687,3,942,4
688,2,125,9
689,2,609,8
690,5,1707,5
691,2,995,3
692,2,391,7
693,3,88,3
694,3,1661,9
695,5,757,9
696,1,1837,2
697,5,404,2
698,3,1182,3
699,3,395,7
700,5,869,4
701,1,210,10
702,1,1352,3
703,1,50,1
704,4,1082,8
705,1,38,6
706,4,76,8
707,3,1828,10
708,4,1293,4
709,2,9,5
710,3,389,5
711,1,1522,10
712,4,501,8
713,1,170,5
714,3,547,4
715,5,299,6
716,4,187,8
717,4,1612,7
718,5,241,8
719,2,1444,7
720,2,311,8
721,2,509,8
722,1,997,9
723,1,563,3
724,4,1880,4
725,2,115,1
726,5,701,6
727,1,1415,10
728,4,966,10
729,5,402,3
730,2,860,3
731,4,711,8
732,2,854,4
733,5,851,7
734,1,374,6
735,1,1300,9
736,1,1247,6
737,4,823,6
738,5,517,8
739,3,508,2
740,2,1031,6
741,1,429,7
742,4,1989,7
743,5,1625,4
744,4,954,7
745,4,669,9
746,1,589,5
747,4,128,1
748,4,1174,3
749,2,1978,9
750,4,1792,4
751,4,11,8
752,5,1655,8
753,3,79,7
754,2,1916,9
755,4,663,3
756,5,1715,3
757,5,1667,9
758,4,1376,6
759,5,486,10
760,2,1805,5
761,1,173,5
762,5,765,4
763,5,493,2
764,5,106,3
765,4,776,1
766,5,1090,4
767,1,1289,4
768,2,1557,3
769,1,1956,8
770,4,26,4
771,2,243,6
772,2,1835,4
773,3,825,4
774,1,1197,3
775,2,1021,4
776,5,1766,1
777,1,230,3
778,3,1345,7
779,3,427,9
780,3,1055,8
781,3,1657,1
782,3,1868,9
783,5,677,5
784,5,1021,8
785,3,1519,7
786,3,1256,6
787,4,1484,4
788,4,1092,10
789,5,63,2
790,5,903,7
791,1,1928,7
792,5,1442,9
793,3,1980,5
794,4,139,1
795,5,2,7
796,3,690,2
797,5,912,3
798,2,700,10
799,1,1141,4
800,5,1061,6
801,4,1753,2
802,1,1813,9
803,5,1252,10
804,4,158,6
805,1,1721,8
806,1,988,6
807,2,717,7
808,5,1994,1
809,5,1142,5
810,1,587,10
811,2,327,6
812,5,242,9
813,1,1015,4
814,3,663,2
815,2,39,10
816,2,713,1
817,3,252,10
818,3,1230,6
819,3,396,8
820,1,1404,10
821,4,1859,9
822,4,1272,10
823,5,1216,1
824,2,397,4
825,2,232,4
826,1,1002,4
827,2,1530,5
828,5,1674,7
829,2,1056,4
830,4,1906,8
831,2,1484,4
832,1,1279,3
833,3,1982,10
834,4,1765,2
835,4,1790,7
836,5,1125,9
837,3,1313,7
838,3,622,9
839,5,1489,1
840,5,1347,7
841,5,1515,2
842,5,1373,8
843,5,963,7
844,2,619,5
845,1,1947,9
846,3,310,9
847,4,1107,4
848,3,1925,10
849,2,258,4
850,4,1373,9
851,5,1079,1
852,3,1774,4
853,1,1024,4
854,3,1951,5
855,4,1611,10
856,2,858,5
857,4,1867,1
858,4,563,2
859,5,812,1
860,2,139,5
861,5,571,8
862,4,856,1
863,2,17,4
864,5,705,2
865,4,1654,1
866,2,996,1
867,5,779,8
868,3,1816,6
869,5,1550,2
870,1,929,4
871,1,900,6
872,2,1075,5
873,1,1500,10
874,2,1249,10
875,5,807,9
876,1,1231,3
877,2,410,3
878,3,807,5
879,5,1604,3
880,5,157,1
881,3,1510,5
882,3,1247,9
883,2,1123,5
884,4,1430,2
885,5,228,4
886,5,1164,8
887,2,460,2
888,4,1443,3
889,4,794,8
890,5,39,7
891,1,199,2
892,2,467,10
893,4,677,3
894,5,915,1
895,1,913,1
896,3,259,6
897,1,1143,5
898,5,1600,3
899,2,662,1
900,2,766,10
901,3,401,7
902,2,1973,6
903,5,1372,9
904,2,1767,4
905,2,1192,7
906,1,355,4
907,5,1851,5
908,1,723,2
909,2,1280,8
910,3,51,4
911,1,325,6
912,2,56,1
913,2,802,4
914,3,762,2
915,4,145,4
916,4,423,1
917,1,1230,5
918,5,1346,7
919,4,768,3
920,2,1399,9
921,2,1965,4
922,3,744,3
923,5,1590,4
924,5,1895,1
925,2,193,8
926,5,1873,10
927,4,1620,9
928,2,871,4
929,1,1523,7
930,2,223,10
931,4,144,2
932,2,922,3
933,2,631,6
934,1,851,2
935,2,306,4
936,1,1245,4
937,1,1807,5
938,5,1496,10
939,2,352,1
940,5,1280,6
941,4,1253,7
942,4,775,9
943,1,584,8
944,1,403,5
945,1,1867,10
946,3,1962,3
947,1,1761,6
948,2,1288,7
949,1,1927,7
950,3,1333,7
951,4,1723,5
952,1,122,5
953,1,1958,3
954,1,1055,2
955,4,1176,2
956,5,1101,10
957,4,388,9
958,3,548,4
959,5,100,1
960,2,768,5
961,3,557,7
962,5,1759,7
963,3,551,4
964,5,1989,4
965,4,1923,6
966,5,1398,2
967,3,1365,7
968,3,1540,10
969,2,1665,3
970,5,257,3
971,3,934,10
972,5,247,8
973,3,1736,9
974,2,514,2
975,1,1954,9
976,2,1609,6
977,5,350,5
978,3,1580,4
979,4,484,10
980,4,1954,6
981,2,1092,7
982,2,1581,7
983,1,1158,9
984,1,1106,5
985,5,1838,3
986,4,552,1
987,1,1904,3
988,1,141,2
989,4,1408,4
990,5,254,6
991,2,1964,3
992,3,1138,6
993,1,114,5
994,1,620,3
995,4,1421,8
996,3,313,7
997,4,35,10
998,5,1961,5
999,4,152,2
1000,3,471,9
1001,5,1208,7
1002,1,897,5
1003,3,227,1
1004,4,1956,7
1005,2,1901,2
1006,4,805,8
1007,3,838,9
1008,4,1754,3
1009,2,1237,4
1010,1,1617,8
1011,3,131,4
1012,1,834,4
1013,2,1353,9
1014,2,1772,3
1015,4,1439,6
1016,1,1631,3
1017,4,431,8
1018,2,419,2
1019,2,167,10
1020,3,1122,7
1021,3,589,7
1022,2,1042,1
1023,1,1406,3
1024,1,511,3
1025,5,206,5
1026,2,910,1
1027,2,1666,4
1028,1,243,10
1029,3,1818,3
1030,4,927,10
1031,1,683,7
1032,5,1850,1
1033,3,1604,9
1034,1,458,5
1035,1,653,5
1036,3,1073,8
1037,5,353,9
1038,2,1104,6
1039,1,126,2
1040,5,1541,5
1041,4,820,2
1042,2,1009,7
1043,3,1037,2
1044,5,1019,2
1045,2,1463,3
1046,4,273,10
1047,4,1482,1
1048,5,1040,7
1049,2,1763,4
1050,1,839,10
1051,5,1352,4
1052,3,382,7
1053,5,245,9
1054,2,480,4
1055,2,1972,8
1056,5,1533,5
1057,5,610,4
1058,1,1687,10
1059,1,1946,3
1060,2,143,7
1061,5,826,8
1062,3,521,4
1063,2,1432,3
1064,1,813,4
1065,5,688,9
1066,5,693,6
1067,1,1176,2
1068,1,914,3
1069,1,19,4
1070,3,889,7
1071,1,314,2
1072,3,1979,10
1073,3,1880,10
1074,1,1709,3
1075,5,1636,7
1076,3,1867,2
1077,4,462,7
1078,3,1743,9
1079,2,100,5
1080,3,1315,3
1081,5,388,6
1082,1,1850,4
1083,4,476,4
1084,5,1259,5
1085,1,107,6
1086,3,1281,10
1087,5,937,9
1088,2,328,5
1089,3,1612,4
1090,5,1150,3
1091,4,1772,10
1092,1,1789,1
1093,3,908,5
1094,2,265,5
1095,5,1845,9
1096,1,1677,3
1097,1,1854,6
1098,3,184,3
1099,4,634,10
1100,5,990,2
1101,3,23,3
1102,3,337,10
1103,4,171,2
1104,4,1476,1
1105,4,832,3
1106,4,706,1
1107,4,1453,5
1108,2,1329,5
1109,5,1547,9
1110,5,132,1
1111,4,1435,6
1112,3,676,6
1113,2,1620,10
1114,1,905,8
1115,1,462,8
1116,5,81,3
1117,2,11,8
1118,2,955,6
1119,3,64,10
1120,3,1582,3
1121,3,888,5
1122,5,934,10
1123,3,791,5
1124,5,1953,1
1125,5,405,1
1126,5,901,5
1127,2,140,6
1128,1,66,4
1129,5,616,8
1130,4,660,9
1131,3,472,8
1132,3,1033,4
1133,4,1938,5
1134,4,591,6
1135,2,733,8
1136,2,449,7
1137,3,1426,8
1138,5,1887,9
1139,2,1678,6
1140,1,1741,10
1141,2,57,5
1142,5,426,2
1143,2,34,3
1144,5,1327,2
1145,3,517,7
1146,1,1113,1
1147,1,1678,2
1148,4,1648,7
1149,1,449,5
1150,4,1017,7
1151,5,629,3
1152,1,1011,1
1153,4,653,8
1154,1,1128,8
1155,5,198,9
1156,5,1502,2
1157,5,1701,5
1158,4,1781,5
1159,1,454,9
1160,2,912,7
1161,5,1645,6
1162,5,1435,4
1163,5,1365,5
1164,5,792,8
1165,1,427,10
1166,5,382,9
1167,2,424,1
1168,1,1175,1
1169,5,1192,10
1170,2,1439,7
1171,1,1487,5
1172,2,1999,3
1173,2,230,9
1174,4,1199,9
1175,4,895,4
1176,5,6,9
1177,3,1350,5
1178,1,182,2
1179,2,1200,3
1180,2,326,9
1181,5,1678,4
1182,1,1218,6
1183,4,1982,1
1184,4,1738,2
1185,3,1237,2
1186,2,751,7
1187,1,890,2
1188,2,87,8
1189,1,933,3
1190,1,940,5
1191,1,320,2
1192,4,173,8
1193,2,1159,8
1194,4,1230,7
1195,3,1996,8
1196,2,1940,8
1197,2,1505,10
1198,3,129,6
1199,2,1124,1
1200,1,530,3
1201,5,539,9
1202,5,1480,7
1203,3,175,3
1204,4,1603,10
1205,1,641,1
1206,2,524,5
1207,2,1072,5
1208,3,1383,7
1209,2,1223,9
1210,1,909,10
1211,4,977,9
1212,3,893,8
1213,1,971,1
1214,5,1867,9
1215,5,384,5
1216,2,642,10
1217,3,586,9
1218,2,485,5
1219,3,1660,7
1220,5,1245,4
1221,2,1110,3
1222,5,1567,6
1223,3,675,3
1224,5,1141,8
1225,3,543,10
1226,3,1324,4
1227,5,643,1
1228,5,696,4
1229,1,296,8
1230,1,975,3
1231,2,1101,1
1232,5,1757,6
1233,5,1657,2
1234,4,869,6
1235,5,1606,6
1236,4,288,7
1237,3,947,5
1238,1,293,7
1239,5,191,9
1240,4,1016,6
1241,2,157,6
1242,3,618,3
1243,5,1983,1
1244,5,1351,3
1245,1,372,7
1246,5,704,4
1247,1,1005,3
1248,5,1445,5
1249,4,123,8
1250,2,1732,2
1251,5,87,6
1252,5,1288,1
1253,3,448,9
1254,3,377,5
1255,5,393,10
1256,3,1010,5
1257,5,650,9
1258,4,798,3
1259,3,1907,5
1260,4,1888,4
1261,3,19,7
1262,5,576,8
1263,2,1268,5
1264,5,1777,4
1265,1,888,10
1266,5,1964,3
1267,5,1629,8
1268,1,1746,7
1269,3,704,9
1270,1,344,2
1271,5,414,5
1272,2,1560,10
1273,4,154,3
1274,5,1909,5
1275,3,1889,8
1276,3,969,10
1277,5,1738,9
1278,2,1135,1
1279,3,1410,6
1280,3,1601,2
1281,5,250,4
1282,2,797,3
1283,1,225,1
1284,2,1685,4
1285,3,672,2
1286,3,1636,4
1287,4,1147,5
1288,1,1259,5
1289,5,969,9
1290,3,150,9
1291,2,1827,6
1292,2,417,3
1293,4,909,10
1294,4,1543,5
1295,4,1922,5
1296,2,1744,9
1297,3,1339,1
1298,4,1438,8
1299,5,397,4
1300,2,1566,1
1301,5,333,2
1302,5,1274,10
1303,2,355,5
1304,3,1274,2
1305,4,1916,7
1306,1,1885,3
1307,2,1689,3
1308,1,1503,6
1309,1,1206,4
1310,1,152,5
1311,2,53,5
1312,5,243,6
1313,5,1538,6
1314,3,374,10
1315,5,1134,6
1316,5,499,8
1317,3,1696,6
1318,5,1094,8
1319,1,1965,5
1320,1,46,10
1321,2,1239,2
1322,5,1644,5
1323,5,1271,9
1324,3,1319,4
1325,1,466,3
1326,3,323,10
1327,3,1377,6
1328,4,1944,9
1329,5,849,1
1330,2,74,1
1331,2,1607,3
1332,4,1873,7
1333,3,905,3
1334,5,1376,6
1335,1,1444,5
1336,1,404,6
1337,4,726,4
1338,3,1675,9
1339,2,793,10
1340,5,1940,5
1341,1,953,5
1342,4,1710,6
1343,1,78,7
1344,4,202,4
1345,4,463,9
1346,2,338,9
1347,4,1115,9
1348,4,1010,8
1349,3,1952,1
1350,4,238,5
1351,2,852,2
1352,3,1983,1
1353,5,1948,4
1354,3,1347,2
1355,3,740,2
1356,2,607,2
1357,5,347,7
1358,1,1509,7
1359,5,282,5
1360,1,1555,1
1361,4,970,2
1362,2,304,9
1363,1,437,9
1364,5,1963,3
1365,4,425,6
1366,3,632,5
1367,3,21,4
1368,1,157,2
1369,5,1607,2
1370,4,1774,1
1371,2,919,9
1372,4,912,1
1373,3,1926,3
1374,2,1832,7
1375,1,1626,6
1376,4,156,8
1377,1,809,2
1378,3,1310,9
1379,5,202,8
1380,4,1606,4
1381,1,531,3
1382,3,1904,1
1383,5,805,1
1384,5,1665,3
1385,2,471,7
1386,4,1249,1
1387,3,1603,7
1388,4,1475,6
1389,4,1600,8
1390,5,1392,7
1391,5,464,2
1392,5,953,8
1393,3,779,8
1394,1,1657,6
1395,5,1260,1
1396,2,96,7
1397,4,1039,1
1398,4,847,9
1399,5,541,8
1400,3,226,10
1401,2,1918,9
1402,5,1152,6
1403,2,7,9
1404,1,1544,10
1405,4,1154,8
1406,5,193,7
1407,5,1071,10
1408,2,189,2
1409,4,1735,3
1410,1,1196,3
1411,3,1106,1
1412,1,285,2
1413,5,706,7
1414,4,756,10
1415,2,529,6
1416,5,270,8
1417,2,1963,8
1418,5,1817,10
1419,1,1016,10
1420,4,1550,10
1421,2,1482,9
1422,1,1549,10
1423,4,1629,1
1424,1,504,1
1425,5,1594,5
1426,1,117,1
1427,1,1884,4
1428,2,1014,2
1429,5,940,2
1430,5,394,2
1431,3,1753,7
1432,1,1683,4
1433,2,1974,4
1434,5,1140,1
1435,2,1711,5
1436,4,1390,2
1437,4,1428,6
1438,4,1320,3
1439,5,153,3
1440,3,970,9
1441,5,1736,10
1442,1,163,3
1443,2,194,2
1444,1,444,5
1445,4,1167,4
1446,2,198,2
1447,5,1663,4
1448,1,498,10
1449,3,484,4
1450,3,520,10
1451,5,1136,8
1452,2,1214,4
1453,4,1642,7
1454,1,1870,5
1455,5,1322,10
1456,4,1626,9
1457,3,1694,7
1458,4,1845,7
1459,3,43,3
1460,3,928,8
1461,3,549,6
1462,5,1304,6
1463,3,1575,3
1464,3,1255,7
1465,3,118,3
1466,2,1338,2
1467,5,1181,1
1468,3,1679,2
1469,1,487,1
1470,2,1277,4
1471,5,601,3
1472,5,1149,4
1473,5,1633,10
1474,4,1877,4
1475,3,1863,2
1476,5,1056,7
1477,2,1836,4
1478,1,1616,3
1479,3,350,3
1480,1,1533,4
1481,5,1962,6
1482,4,178,6
1483,1,1168,3
1484,2,753,9
1485,3,1913,5
1486,3,1095,8
1487,3,1909,10
1488,2,924,5
1489,5,1381,8
1490,3,1605,3
1491,4,399,7
1492,1,65,10
1493,3,1470,1
1494,1,1311,2
1495,2,1354,9
1496,3,852,2
1497,2,1372,2
1498,1,438,10
1499,3,1725,3
1500,4,1143,8
1501,1,1545,3
1502,4,851,6
1503,3,159,6
1504,1,387,6
1505,1,1411,5
1506,4,223,5
1507,1,479,5
1508,3,1191,8
1509,4,1242,3
1510,5,1015,10
1511,2,614,9
1512,1,493,8
1513,1,1751,2
1514,4,160,4
1515,3,468,8
1516,2,831,7
1517,1,1982,4
1518,1,801,5
1519,4,1129,4
1520,1,1577,3
1521,3,115,7
1522,2,1018,3
1523,4,1180,5
1524,3,1966,8
1525,4,84,1
1526,4,234,3
1527,2,1793,3
1528,1,156,8
1529,1,724,3
1530,1,1806,5
1531,2,1467,10
1532,1,1997,2
1533,5,1687,8
1534,5,372,2
1535,5,663,4
1536,1,733,5
1537,4,1797,2
1538,1,1092,8
1539,5,428,1
1540,3,1325,4
1541,1,91,1
1542,4,1049,2
1543,4,523,6
1544,1,433,8
1545,3,957,5
1546,1,1601,6
1547,2,1001,6
1548,3,335,1
1549,3,1931,4
1550,5,1624,4
1551,2,555,5
1552,2,395,6
1553,3,1111,6
1554,4,1361,8
1555,2,666,5
1556,2,1150,4
1557,4,1931,8
1558,4,569,7
1559,4,643,9
1560,5,294,6
1561,5,1958,7
1562,4,362,2
1563,3,1728,8
1564,2,374,9
1565,2,1531,9
1566,4,893,3
1567,1,1738,7
1568,4,572,4
1569,4,1979,10
1570,2,754,6
